Files,Scanner Results
gpl-2.0-openssl.license,OpenSSL [N][Sc: 100%]; OpenSSL-exception [N]; cryptsetup-OpenSSL-exception [M: 100%]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-openssl-exception-gpl-2.0 [Sc: 100%]
gpl-2.0-oracle-mysql-foss.license,GPL-2.0-only [N][Sc: 100%]; mysql-floss-exception [N]; LicenseRef-scancode-oracle-mysql-foss-exception2.0 [Sc: 100%]
gpl-2.0-oracle-openjdk.license,GPL-2.0-or-later [N][Sc: 100%]; Classpath-exception-2.0 [N][M: 100%][Sc: 100%]; GPL-1.0-or-later [Sc: 50%]; GPL-2.0-only [Sc: 100%]
gpl-2.0-plus-ada.license,GPL-2.0-or-later [N][Sc: 100%]; GNAT-exception [M: 100%]; LicenseRef-scancode-ada-linking-exception [Sc: 100%]
gpl-2.0-plus-ekiga.license,GPL-2.0-or-later [N][Sc: 100%]; LicenseRef-scancode-ekiga-exception-2.0-plus [Sc: 100%]
gpl-2.0-plus-gcc.license,GCC-exception-2.0 [N][M: 97%][Sc: 100%]; GPL-2.0-or-later [N][Sc: 100%]; GPL-2.0-only [Sc: 100%]
gpl-2.0-plus-geoserver.license,EPL-1.0 [N]; GPL-2.0-or-later [N][Sc: 100%]; LicenseRef-scancode-geoserver-exception-2.0-plus [Sc: 100%]
gpl-2.0-plus-linking.license,GPL-2.0-or-later [N][Sc: 100%]; linking-exception [N]; SWI-exception [M: 77%]; gnu-javamail-exception [M: 84%]; LicenseRef-scancode-linking-exception-2.0-plus [Sc: 100%]
gpl-2.0-plus-nant.license,GPL-2.0-or-later [N][Sc: 100%]; openvpn-openssl-exception [M: 76%]; LicenseRef-scancode-nant-exception-2.0-plus [Sc: 100%]
gpl-2.0-plus-openmotif.license,GPL-2.0-or-later [N][Sc: 100%]; openvpn-openssl-exception [M: 70%]; LicenseRef-scancode-openmotif-exception-2.0-plus [Sc: 100%]
gpl-2.0-plus-openssl.license,GPL-2.0-or-later [N][Sc: 100%]; DOC [Sc: 100%]; LicenseRef-scancode-openssl-exception-gpl-2.0-plus [Sc: 100%]
gpl-2.0-plus-sane.license,GPL-2.0-or-later [N][Sc: 100%]; linking-exception [N]; SANE-exception [M: 92%]; LicenseRef-scancode-sane-exception-2.0-plus [Sc: 100%]
gpl-2.0-plus-subcommander.license,GPL-2.0-or-later [N][Sc: 100%]; openvpn-openssl-exception [M: 75%]; LicenseRef-scancode-subcommander-exception-2.0plus [Sc: 100%]
gpl-2.0-plus-syntext.license,AFL-3.0 [N]; Apache-2.0 [N]; Artistic-1.0 [N]; CDDL-1.0 [N]; GPL-3.0-only [N][Sc: 100%]; LGPL-2.0-only [N]; MIT [N]; MPL [N]; Python-2.0 [N]; X11 [N]; ZPL-2.1 [N]; GPL-1.0-or-later [Sc: 50%]; GPL-2.0-or-later [Sc: 100%]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-syntext-serna-exception-1.0 [Sc: 100%]
gpl-2.0-plus-upx.license,GPL-2.0-or-later [N][Sc: 100%]; UPX-exception [N]; LicenseRef-scancode-upx-exception-2.0-plus [Sc: 95%]
gpl-2.0-plus.license,GPL-2.0-only [N][Sc: 80%]; GPL-2.0-or-later [N][M: 99%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; GPL-1.0-or-later [Sc: 100%]
gpl-2.0-proguard.license,GPL-2.0-only [N][Sc: 100%]; LicenseRef-scancode-proguard-exception-2.0 [Sc: 100%]
gpl-2.0-qt-qca.license,GPL-2.0-only [N][Sc: 100%]; LicenseRef-scancode-qt-qca-exception-2.0 [Sc: 100%]
gpl-2.0-redhat.license,389-exception [N][M: 87%][Sc: 100%]; GPL-2.0-or-later [N][Sc: 100%]; GPL-2.0-only [Sc: 100%]
gpl-2.0-rrdtool-floss.license,CPL-1.0 [N]; GPL-2.0-or-later [N][Sc: 100%]; LGPL-1.0-only [N]; MIT [N]; MPL [N]; MySQL-style [N]; PHP [N]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-rrdtool-floss-exception-2.0 [Sc: 100%]
gpl-2.0-uboot.license,GPL-2.0-or-later [N][Sc: 100%]; GPL-2.0-only [Sc: 100%]; u-boot-exception-2.0 [Sc: 100%]
gpl-2.0.license,CC-BY [N]; GPL-2.0-only [N][Sc: 100%]; GPL-3.0-only [N][Sc: 100%]; LGPL [N]; GPL-2.0-or-later [M: 99%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; GPL-1.0-or-later [Sc: 100%]; LGPL-2.1-or-later [Sc: 100%]
gpl-3.0-aptana.license,MIT [N]; BSD [N]; GPL-3.0-only [N][Sc: 100%]; LGPL-2.0-only [N]; MPL-1.1 [N]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-aptana-exception-3.0 [Sc: 100%]; LicenseRef-scancode-unknown [Sc: 100%]
gpl-3.0-autoconf.license,Autoconf-exception-3.0 [N][M: 98%][Sc: 100%]; GPL-3.0-or-later [N][Sc: 100%]; GPL-3.0-only [Sc: 100%]
gpl-3.0-bison.license,Bison-exception-2.2 [N][Sc: 50%]; GPL-3.0-or-later [N][Sc: 50%]; GPL-2.0+-with-bison-exception [M: 93%]; GPL-3.0-only [Sc: 100%]
gpl-3.0-cygwin.license,GPL-3.0-or-later [N][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 53%]; LicenseRef-scancode-cygwin-exception-3.0 [Sc: 97%]; GPL-3.0-only [Sc: 100%]
gpl-3.0-font.license,Font-exception-2.0 [N][M: 100%][Sc: 100%]; GPL-3.0-or-later [N][Sc: 50%]; GPL-1.0-or-later [Sc: 50%]; GPL-3.0-only [Sc: 100%]
gpl-3.0-gcc.license,GCC-exception-3.1 [N][Sc: 100%]; GPL-3.0-or-later [N][Sc: 100%]; GPL-3.0-with-GCC-exception [M: 96%]; GPL-3.0-only [Sc: 100%]
gpl-3.0-interface-exception.license,GPL-3.0-only [N][Sc: 100%]; LGPL [N]; GPL-3.0-interface-exception [M: 100%]; LicenseRef-scancode-strongswan-exception [Sc: 77%]; LicenseRef-scancode-generic-exception [Sc: 99%]; GPL-1.0-or-later [Sc: 100%]
gpl-3.0-linking-exception.license,GPL-3.0-only [N]; GPL-3.0-linking-exception [M: 100%][Sc: 100%]; GPL-1.0-or-later [Sc: 100%]
gpl-3.0-linking-source-exception.license,GPL-3.0-only [N][Sc: 100%]; GPL-3.0-linking-source-exception [M: 96%][Sc: 100%]; GPL-1.0-or-later [Sc: 100%]
gpl-3.0-openbd.license,GPL-3.0-only [N][Sc: 100%]; GPL-3.0-linking-exception [M: 75%]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-openbd-exception-3.0 [Sc: 100%]; LicenseRef-scancode-gpl-generic-additional-terms [Sc: 100%]
gpl-3.0-plus-openssl.license,GPL-3.0-or-later [N][Sc: 100%]; OpenSSL-exception [N]; cryptsetup-OpenSSL-exception [M: 100%]; LicenseRef-scancode-openssl-exception-gpl-3.0-plus [Sc: 100%]
gpl-3.0-plus.license,GPL-3.0-only [N][Sc: 100%]; GPL-3.0-or-later [M: 99%][Sc: 100%]; LGPL-2.0-or-later [Sc: 75%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
gpl-3.0.license,GPL-3.0-only [N][Sc: 100%]; GPL-3.0-or-later [M: 99%]; LGPL-2.0-or-later [Sc: 75%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; GPL-1.0-or-later [Sc: 100%]
gpl-generic-additional-terms.license,GPL-3.0-only [N][Sc: 100%]; GPL-1.0-or-later [Sc: 50%]
gplcc-1.0.license,CC-BY-SA-4.0 [N][Sc: 100%]; GPL-2.0-only [N]; LGPL-2.1-only [N]; GPL-CC-1.0 [M: 100%][Sc: 100%]; GPL-1.0-or-later [Sc: 50%]
gradle-enterprise-sla-2022-11-08.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
gradle-tou-2022-01-13.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
graphics-gems.license,See-URL [N]; Graphics-Gems [M: 100%]; LicenseRef-scancode-graphics-gems [Sc: 100%]
greg-roelofs.license,BSD-style [N]; LicenseRef-scancode-greg-roelofs [Sc: 100%]
gregory-pietsch.license,Public-domain [N]; LicenseRef-scancode-gregory-pietsch [Sc: 100%]
gsoap-1.3a.license,gSOAP-1.3b [N][M: 96%][Sc: 99%]; LicenseRef-scancode-gsoap-1.3a [Sc: 100%]
gsoap-1.3b.license,gSOAP-1.3b [N][M: 99%][Sc: 50%]
gstreamer-exception-2.0.license,GPL-2.0-or-later [N][Sc: 50%]; GStreamer-exception-2008 [M: 85%]; LicenseRef-scancode-gstreamer-exception-2.0 [Sc: 100%]
gstreamer-exception-2005.license,GPL-possibility [N]; GStreamer-exception-2005 [M: 100%][Sc: 100%]
gstreamer-exception-2008.license,GPL-possibility [N]; GStreamer-exception-2008 [M: 100%][Sc: 100%]
gtkbook.license,Freeware [N]; LicenseRef-scancode-other-permissive [Sc: 100%]
gtpl-v1.license,Govt-work [N]; Non-commercial [N]; BSD-4-Clause-UC [Sc: 58%]; mpich2 [Sc: 60%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
gtpl-v2.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
gtpl-v3.license,Apache-2.0 [N][M: 97%][Sc: 100%]; LicenseRef-scancode-other-permissive [Sc: 98%]
guile-exception-2.0.license,GPL-2.0-or-later [N][Sc: 100%]; linking-exception [N]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-guile-exception-2.0 [Sc: 100%]
gust-font-1.0.license,LPPL-1.3c+ [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-gust-font-1.0 [Sc: 100%]
gust-font-2006-09-30.license,LPPL-1.3c+ [N]; LicenseRef-scancode-gust-font-1.0 [Sc: 100%]; LicenseRef-scancode-gust-font-2006-09-30 [Sc: 100%]
gutenberg-2020.license,Public-domain [N]; LicenseRef-scancode-gutenberg-2020 [Sc: 100%]
gutmann.license,No_license_found [N]; LicenseRef-scancode-other-permissive [Sc: 100%]
h2-1.0.license,H2-1.0 [N]; MPL [N]; SPL-1.0 [M: 88%]; MPL-2.0 [Sc: 50%]; MPL-1.1 [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-h2-1.0 [Sc: 100%]
hacking-license.license,No_license_found [N]; BSD-3-Clause [Sc: 60%]; LicenseRef-scancode-other-permissive [Sc: 60%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-warranty-disclaimer [Sc: 90%]
hacos-1.2.license,MPL-1.1 [N]; Nokia [M: 81%]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-hacos-1.2 [Sc: 100%]
happy-bunny.license,MIT [N][M: 87%]; LicenseRef-scancode-happy-bunny [Sc: 100%]
haskell-report.license,No_license_found [N]; HaskellReport [Sc: 91%]
hauppauge-firmware-eula.license,Hauppauge [N]; LicenseRef-scancode-hauppauge-firmware-eula [Sc: 100%]
hauppauge-firmware-oem.license,Hauppauge [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-hauppauge-firmware-oem [Sc: 100%]
hazelcast-community-1.0.license,See-file [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-hazelcast-community-1.0 [Sc: 100%]
hdf4.license,BSD-style [N]; IJG-possibility [N]; LicenseRef-scancode-hdf4 [Sc: 100%]
hdf5.license,BSD-style [N]; LicenseRef-scancode-hdf5 [Sc: 100%]
hdparm.license,Freeware [N]; LicenseRef-scancode-hdparm [Sc: 100%]
helios-eula.license,Non-commercial [N]; LicenseRef-scancode-helios-eula [Sc: 100%]
helix.license,Helix.RealNetworks-EULA [N][M: 100%]; LicenseRef-scancode-helix [Sc: 100%]
henry-spencer-1999.license,BSD-style [N]; Spencer-99 [M: 95%][Sc: 50%]
here-disclaimer.license,No_license_found [N]; LicenseRef-scancode-here-disclaimer [Sc: 100%]
here-proprietary.license,No_license_found [N]; LicenseRef-scancode-here-proprietary [Sc: 100%]
hessla.license,UnclassifiedLicense [N]; LicenseRef-scancode-hessla [Sc: 100%]
hfoil-1.0.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
hidapi.license,No_license_found [N]; LicenseRef-scancode-hidapi [Sc: 100%]
hippocratic-1.0.license,MIT [N]; JSON [M: 74%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-hippocratic-1.2 [Sc: 100%]; LicenseRef-scancode-hippocratic-1.0 [Sc: 100%]
hippocratic-1.1.license,MIT [N][M: 74%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-hippocratic-1.2 [Sc: 100%]; LicenseRef-scancode-hippocratic-1.1 [Sc: 100%]
hippocratic-1.2.license,MIT [N]; LicenseRef-scancode-hippocratic-1.2 [Sc: 100%]
hippocratic-2.0.license,MIT-style [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-hippocratic-1.2 [Sc: 100%]; LicenseRef-scancode-hippocratic-2.0 [Sc: 100%]
hippocratic-2.1.license,See-file [N]; Hippocratic-2.1 [M: 95%][Sc: 100%]; LicenseRef-scancode-hippocratic-1.2 [Sc: 100%]
hippocratic-3.0.license,See-file [N]; LicenseRef-scancode-hippocratic-1.2 [Sc: 100%]; LicenseRef-scancode-Hippocratic-3.0 [Sc: 100%]
historical-ntp.license,UnclassifiedLicense [N]; LicenseRef-scancode-historical-ntp [Sc: 100%]
historical-sell-variant.license,HPND-sell-variant [N][M: 86%][Sc: 100%]
historical.license,HPND [N][M: 82%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
homebrewed.license,BSD-style [N]; BSD-3-Clause [M: 72%]; LicenseRef-scancode-homebrewed [Sc: 100%]
hot-potato.license,No_license_found [N]; LicenseRef-scancode-hot-potato [Sc: 100%]
houdini-project.license,AGPL-3.0-only [N][Sc: 100%]; CC0-1.0 [N][Sc: 100%]; CCPL [N]; LGPL-3.0-or-later [N][Sc: 100%]; GPL-3.0-or-later [Sc: 60%]; LGPL-2.0-or-later [Sc: 75%]; GPL-1.0-or-later [Sc: 90%]; AGPL-3.0-or-later [Sc: 100%]; GPL-3.0-only [Sc: 100%]; LGPL-2.1-or-later [Sc: 100%]; LGPL-3.0-only [Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-public-domain [Sc: 100%]
hp-1986.license,OSF-style [N]; HP-1986 [M: 92%]; LicenseRef-scancode-osf-1990 [Sc: 100%]
hp-enterprise-eula.license,HP-EULA [N]; LGPL [N]; LicenseRef-scancode-hp-enterprise-eula [Sc: 100%]
hp-netperf.license,HP [N]; LicenseRef-scancode-hp-netperf [Sc: 100%]
hp-proliant-essentials.license,GPL [N]; HP-EULA [N]; LicenseRef-scancode-hp-proliant-essentials [Sc: 100%]
hp-snmp-pp.license,hp-snmp-pp [N]; LicenseRef-scancode-hp-snmp-pp [Sc: 100%]
hp-software-eula.license,GPL [N]; HP-EULA [N]; LicenseRef-scancode-hp-software-eula [Sc: 100%]
hp-ux-java.license,HP-Proprietary [N]; LicenseRef-scancode-hp-ux-java [Sc: 100%]
hp-ux-jre.license,HP-Proprietary [N]; LicenseRef-scancode-hp-ux-jre [Sc: 100%]
hp.license,HP-EULA [N]; HP [M: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-hp [Sc: 100%]
hpnd-doc-sell.license,MIT-style [N]; HPND-doc-sell [M: 93%]; LicenseRef-scancode-x11-doc [Sc: 96%]; HPND [Sc: 100%]; DOC [Sc: 100%]
hpnd-doc.license,X11-style [N]; HPND-doc [M: 93%]; LicenseRef-scancode-x11-doc [Sc: 80%]; HPND [Sc: 100%]
hpnd-export-us-acknowledgement.license,USC-style [N]; W3C-style [N]; HPND [Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-mit-no-advert-export-control [Sc: 100%]
hpnd-export-us.license,MIT-CMU-style [N]; HPND-export-US [M: 93%]; LicenseRef-scancode-mit-no-advert-export-control [Sc: 89%]; HPND [Sc: 100%]
hpnd-fenneberg-livingston.license,X11-style [N]; LicenseRef-scancode-carnegie-mellon [Sc: 89%]; HPND [Sc: 100%]
hpnd-inria-imag.license,MIT-style [N]; X11-style [N]; HPND [Sc: 100%]; LicenseRef-scancode-other-permissive [Sc: 100%]
hpnd-mit-disclaimer.license,HPND [N][Sc: 100%]; MIT-style [N]; MIT-open-group [Sc: 50%]; NTP [Sc: 62%]
hpnd-netrek.license,HPND [N][Sc: 100%]; HPND-Pbmplus [M: 71%]; LicenseRef-scancode-mit-old-style [Sc: 94%]
hpnd-pbmplus.license,HPND [N][Sc: 100%]; HPND-Pbmplus [M: 90%]; LicenseRef-scancode-libpbm [Sc: 100%]
hpnd-sell-mit-disclaimer-xserver.license,MIT-style [N]; LicenseRef-scancode-other-permissive [Sc: 86%]; HPND [Sc: 100%]
hpnd-sell-regexpr.license,MIT-style [N]; LicenseRef-scancode-wol [Sc: 61%]; HPND [Sc: 100%]
hpnd-sell-variant-mit-disclaimer-rev.license,MIT-style [N]; Apache-2.0 [Sc: 82%]; HPND-sell-variant [Sc: 100%]; LicenseRef-scancode-mit-old-style [Sc: 100%]
hpnd-sell-variant-mit-disclaimer.license,MIT-style [N]; LicenseRef-scancode-other-permissive [Sc: 99%]; HPND-sell-variant [Sc: 100%]
hpnd-uc-export-us.license,HPND [N][Sc: 100%]; HPND-UC [M: 87%]; LicenseRef-scancode-other-permissive [Sc: 87%]
hpnd-uc.license,HPND [N][Sc: 100%]; HPND-UC [M: 87%]; LicenseRef-scancode-other-permissive [Sc: 87%]
hs-regexp-orig.license,Spencer-86 [N][Sc: 100%]
hs-regexp.license,Spencer-94 [N][M: 94%][Sc: 50%]; BSD-3-Clause [Sc: 99%]
html5.license,No_license_found [N]; CC-BY-4.0 [Sc: 50%]; LicenseRef-scancode-html5 [Sc: 100%]
httpget.license,Non-profit [N]; UnclassifiedLicense [N]; LicenseRef-scancode-httpget [Sc: 100%]
huggingface-tos-20220915.license,CCPL [N]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-unknown [Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
hugo.license,UnclassifiedLicense [N]; LicenseRef-scancode-hugo [Sc: 100%]
hxd.license,Freeware [N]; LicenseRef-scancode-hxd [Sc: 100%]
i2p-gpl-java-exception.license,GPL-2.0-only [N][Sc: 100%]; i2p-gpl-java-exception [N][M: 97%][Sc: 50%]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
iMatix.license,Artistic-1.0 [N]; GPL [N]; iMatix [M: 98%][Sc: 99%]
ian-kaplan.license,No_license_found [N]; LicenseRef-scancode-ian-kaplan [Sc: 100%]
ian-piumarta.license,MIT-style [N]; LicenseRef-scancode-ian-piumarta [Sc: 100%]
ibm-as-is.license,IBM-as-is [N]; LicenseRef-scancode-ibm-as-is [Sc: 100%]
ibm-data-server-2011.license,See-file [N]; LicenseRef-scancode-ibm-data-server-2011 [Sc: 100%]
ibm-developerworks-community-download.license,UnclassifiedLicense [N]; LicenseRef-scancode-ibm-developerworks-community [Sc: 100%]
ibm-dhcp.license,IBM-dhcp [N]; LicenseRef-scancode-ibm-dhcp [Sc: 100%]
ibm-employee-written.license,Not-for-sale [N]; UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
ibm-glextrusion.license,IBM [N]; LicenseRef-scancode-other-permissive [Sc: 57%]
ibm-icu.license,ICU [N][M: 100%][Sc: 70%]; BSD-3-Clause [N][Sc: 100%]; Unicode-TOU [N]; naist-2003 [N]; BSD-3-Clause-No-Military-License [M: 72%]; WebM [M: 96%]; BSD-2-Clause [M: 96%]; NAIST-2003 [M: 100%]; LicenseRef-scancode-unicode [Sc: 100%]; LicenseRef-scancode-ibm-icu [Sc: 100%]
ibm-java-portlet-spec-2.0.license,IBM-possibility [N]; LicenseRef-scancode-ibm-java-portlet-spec-2.0 [Sc: 100%]
ibm-jre.license,IBM-EULA [N]; LicenseRef-scancode-ibm-jre [Sc: 100%]
ibm-nwsc.license,IBM-EULA [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-ibm-nwsc [Sc: 100%]
ibm-pibs.license,IBM-pibs [N][M: 99%][Sc: 100%]
ibm-sample.license,UnclassifiedLicense [N]; LicenseRef-scancode-ibm-sample [Sc: 100%]
ibmpl-1.0.license,IPL-1.0 [N][M: 98%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
ibpp.license,MIT-style [N]; LicenseRef-scancode-ibpp [Sc: 100%]
ic-1.0.license,Apache-2.0 [N]; MIT [N]; MS-PL [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-ic-1.0 [Sc: 100%]
ic-shared-1.0.license,Apache-2.0 [N]; MIT [N]; MS-PL [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-ic-shared-1.0 [Sc: 100%]
icann-public.license,No_license_found [N]; LicenseRef-scancode-public-domain [Sc: 70%]; LicenseRef-scancode-icann-public [Sc: 100%]
ice-exception-2.0.license,Apache-2.0 [N]; GPL-2.0-only [N][Sc: 100%]; LGPL-2.1-only [N]; LicenseRef-scancode-ice-exception-2.0 [Sc: 100%]
icot-free.license,UnclassifiedLicense [N]; LicenseRef-scancode-icot-free [Sc: 100%]
icu-license.license,MIT-style [N]; ICU [M: 88%][Sc: 100%]
idt-notice.license,UnclassifiedLicense [N]; IBM-pibs [M: 81%]; LicenseRef-scancode-idt-notice [Sc: 100%]
iec-code-components-eula.license,UnclassifiedLicense [N]; IEC-Code-Components-EULA [M: 97%]; BSD-Source-Code [Sc: 60%]
ietf-trust.license,BSD-3-Clause [N][Sc: 100%]; IETF [N]; BSD-2-Clause-Views [M: 69%]; WebM [M: 90%]; LicenseRef-scancode-ietf-trust [Sc: 100%]
ietf.license,IETF [N]; LicenseRef-scancode-ietf [Sc: 100%]
ijg-2020.license,IJG [N][Sc: 100%]; IJG-short [M: 86%]
ijg-short.license,IJG [N][Sc: 100%]; IJG-short [M: 100%]; LicenseRef-scancode-warranty-disclaimer [Sc: 100%]
ijg.license,IJG [N][M: 99%][Sc: 100%]
ilmid.license,CMU-style [N]; LicenseRef-scancode-ilmid [Sc: 100%]
imagemagick.license,ImageMagick [N][Sc: 100%]; ImageMagick(Apache) [N]; Apache-2.0 [M: 82%][Sc: 100%]
imagen.license,No_license_found [N]; ImageMagick [Sc: 80%]; LicenseRef-scancode-imagen [Sc: 100%]
imlib2.license,Imlib2 [N][M: 100%][Sc: 100%]; MIT-enna [Sc: 50%]
independent-module-linking-exception.license,Classpath-exception-2.0 [N]; LGPL [N]; GPL-1.0-or-later [Sc: 50%]; LGPL-2.0-or-later [Sc: 75%]; LicenseRef-scancode-indie-module-linking-exception [Sc: 100%]
indiana-extreme-1.2.license,BSD-style [N]; xpp [M: 94%][Sc: 100%]
indiana-extreme.license,BSD-3-Clause [N]; Entessa [M: 72%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-indiana-extreme [Sc: 100%]
infineon-free.license,UnclassifiedLicense [N]; LicenseRef-scancode-infineon-free [Sc: 100%]
info-zip-1997-10.license,Info-ZIP [N]; Public-domain [N]; info-zip [Sc: 100%]; LicenseRef-scancode-info-zip-1997-10 [Sc: 100%]
info-zip-2001-01.license,Info-ZIP [N][M: 68%]; BSD-style [N]; info-zip [Sc: 100%]; DOC [Sc: 100%]; LicenseRef-scancode-info-zip-2009-01 [Sc: 100%]; LicenseRef-scancode-info-zip-2001-01 [Sc: 100%]
info-zip-2002-02.license,Info-ZIP [N][M: 77%]; info-zip [Sc: 100%]; DOC [Sc: 100%]; LicenseRef-scancode-info-zip-2009-01 [Sc: 100%]; LicenseRef-scancode-info-zip-2002-02 [Sc: 100%]
info-zip-2003-05.license,Info-ZIP [N][M: 78%]; info-zip [Sc: 100%]; DOC [Sc: 100%]; LicenseRef-scancode-info-zip-2009-01 [Sc: 100%]; LicenseRef-scancode-info-zip-2003-05 [Sc: 100%]
info-zip-2004-05.license,Info-ZIP [N][M: 79%]; info-zip [Sc: 100%]; LicenseRef-scancode-info-zip-2004-05 [Sc: 100%]
info-zip-2005-02.license,Info-ZIP [N][M: 80%]; info-zip [Sc: 100%]; DOC [Sc: 100%]; LicenseRef-scancode-info-zip-2009-01 [Sc: 100%]; LicenseRef-scancode-info-zip-2005-02 [Sc: 100%]
info-zip-2007-03.license,Info-ZIP [N][M: 92%]; info-zip [Sc: 100%]; DOC [Sc: 100%]; LicenseRef-scancode-info-zip-2009-01 [Sc: 100%]; LicenseRef-scancode-info-zip-2007-03 [Sc: 100%]
info-zip-2009-01.license,Info-ZIP [N][M: 98%]; info-zip [Sc: 100%]; LicenseRef-scancode-info-zip-2009-01 [Sc: 100%]
info-zip.license,Info-ZIP [N][M: 68%]; BSD-style [N]; info-zip [Sc: 100%]
infonode-1.1.license,See-URL [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-infonode-1.1 [Sc: 100%]
initial-developer-public.license,MPL-1.1 [N]; Interbase [M: 90%]; LicenseRef-scancode-initial-developer-public [Sc: 100%]
inner-net-2.0.license,InnerNet-2.00 [N]; Inner-Net-2.0 [M: 78%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-inner-net-2.0 [Sc: 100%]
inno-setup.license,Freeware [N]; LicenseRef-scancode-inno-setup [Sc: 100%]
inria-linking-exception.license,See-URL [N]; QPL-1.0-INRIA-2004-exception [M: 100%]; QPL-1.0 [Sc: 50%]; LicenseRef-scancode-inria-linking-exception [Sc: 100%]
installsite.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-installsite [Sc: 100%]
intel-acpi.license,Intel-ACPI [N][M: 99%][Sc: 100%]
intel-bcl.license,Intel-Binary [N]; LicenseRef-scancode-intel-bcl [Sc: 100%]
intel-bsd-2-clause.license,BSD-style [N]; Intel [N]; BSD-1-Clause [M: 69%]; BSD-2-Clause [Sc: 100%]; LicenseRef-scancode-intel-bsd-2-clause [Sc: 100%]
intel-bsd-export-control.license,BSD-3-Clause [N][M: 93%][Sc: 99%]; Intel [N][Sc: 100%]; BSD-3-Clause-No-Military-License [M: 72%]
intel-bsd.license,BSD-style [N]; GPL-2.0-only [N][Sc: 100%]; Intel [N]; BSD-3-Clause [Sc: 99%]; LicenseRef-scancode-intel-bsd [Sc: 100%]
intel-code-samples.license,Intel [N]; LicenseRef-scancode-intel-code-samples [Sc: 100%]
intel-confidential.license,COMMERCIAL [N]; LicenseRef-scancode-intel-confidential [Sc: 100%]
